        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCN Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-25 11:39:32 ,          36.0   ,           1200.0   ,           0.0   ,               56.0   ,         20   ,                        791   ,                      121   ,         0.912   ,               62.0   ,                  7108   ,
2024-07-25 11:39:33 ,          28.0   ,           1200.0   ,           0.0   ,               56.0   ,         23   ,                        791   ,                      121   ,         0.912   ,               62.0   ,                  7108   ,
2024-07-25 11:39:34 ,         148.0   ,           1200.0   ,           0.0   ,               58.0   ,         23   ,                        791   ,                      121   ,         0.912   ,               62.0   ,                  7108   ,
2024-07-25 11:39:35 ,          61.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        791   ,                      121   ,         0.912   ,               62.0   ,                  7108   ,
2024-07-25 11:39:36 ,          35.0   ,           1200.0   ,           0.0   ,               58.0   ,         23   ,                        791   ,                      121   ,         0.906   ,               61.9   ,                  7108   ,
2024-07-25 11:39:37 ,          27.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      121   ,         0.906   ,               62.3   ,                  7108   ,
2024-07-25 11:39:38 ,          25.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      121   ,         0.912   ,               62.5   ,                  7108   ,
2024-07-25 11:39:39 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      121   ,         0.912   ,               62.5   ,                  7108   ,
2024-07-25 11:39:40 ,         147.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        786   ,                      121   ,         0.912   ,               62.5   ,                  7108   ,
2024-07-25 11:39:41 ,         109.0   ,           1200.0   ,           0.0   ,               58.0   ,         24   ,                        786   ,                      121   ,         1.106   ,               62.4   ,                  7108   ,
2024-07-25 11:39:42 ,          50.0   ,           1200.0   ,           0.0   ,               58.0   ,         24   ,                        786   ,                      121   ,         1.112   ,               62.4   ,                  7108   ,
2024-07-25 11:39:43 ,          32.0   ,           1200.0   ,           0.0   ,               57.0   ,         25   ,                        786   ,                      121   ,         0.912   ,               62.3   ,                  7108   ,
2024-07-25 11:39:44 ,         149.0   ,           1200.0   ,           0.0   ,               57.0   ,         25   ,                        786   ,                      121   ,         0.912   ,               62.3   ,                  7108   ,
2024-07-25 11:39:45 ,          62.0   ,           1200.0   ,           0.0   ,               56.0   ,         22   ,                        786   ,                      121   ,         0.893   ,               62.6   ,                  7109   ,
2024-07-25 11:39:46 ,          36.0   ,           1200.0   ,           0.0   ,               57.0   ,         16   ,                        790   ,                      121   ,         1.106   ,               64.0   ,                  7134   ,
2024-07-25 11:39:47 ,          28.0   ,           1200.0   ,           0.0   ,               58.0   ,         25   ,                        794   ,                      121   ,         0.912   ,               63.4   ,                  7141   ,
2024-07-25 11:39:48 ,          25.0   ,           1200.0   ,           0.0   ,               57.0   ,         20   ,                        794   ,                      121   ,         0.912   ,               62.5   ,                  7141   ,
2024-07-25 11:39:49 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         21   ,                        794   ,                      121   ,         0.912   ,               62.5   ,                  7141   ,
2024-07-25 11:39:50 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         21   ,                        794   ,                      121   ,         0.912   ,               62.5   ,                  7141   ,
2024-07-25 11:39:51 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         20   ,                        794   ,                      121   ,         0.912   ,               62.5   ,                  7141   ,
2024-07-25 11:39:52 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         19   ,                        794   ,                      121   ,         0.912   ,               62.3   ,                  7141   ,
2024-07-25 11:39:53 ,          24.0   ,           1200.0   ,           0.0   ,               57.0   ,         20   ,                        794   ,                      121   ,         0.912   ,               62.1   ,                  7141   ,
2024-07-25 11:39:54 ,         147.0   ,           1200.0   ,           0.0   ,               57.0   ,         19   ,                        794   ,                      121   ,         0.912   ,               61.9   ,                  7140   ,
2024-07-25 11:39:55 ,          61.0   ,           1200.0   ,           0.0   ,               57.0   ,         19   ,                        794   ,                      121   ,         0.912   ,               61.9   ,                  7140   ,
2024-07-25 11:39:56 ,          35.0   ,           1200.0   ,           0.0   ,               57.0   ,         22   ,                        794   ,                      121   ,         0.906   ,               61.9   ,                  7140   ,
2024-07-25 11:39:57 ,          27.0   ,           1200.0   ,           0.0   ,               57.0   ,         20   ,                        794   ,                      121   ,         0.912   ,               62.0   ,                  7141   ,
